Image size: 1024 x 1024 Border: (0, 0, 0, 0)
Name	TotalMPP	TotalNPP	MeanMPP	MeanNPP	StdMPP	StdNPP	MinMPP	MinNPP	MaxMPP	MaxNPP	AbsoluteDifferenceMSec	RelativeDifference
Add for Pixel8uC1	10.0721	10.2359	0.0785878	0.0770765	0.025506	0.0106791	0.032768	0.06656	0.16768	0.128	-0.000151136	-1.96085
Add for Pixel8uC3	10.8974	10.665	0.0969289	0.0938928	0.00703538	0.00988064	0.069632	0.052544	0.142336	0.117664	-0.000303613	-3.23361
Add for Pixel8uC4	9.29997	10.2298	0.0825958	0.0856547	0.00806146	0.0277114	0.056288	0.04608	0.124736	0.260096	0.00030589	3.70345
Add for Pixel16uC1	7.03181	7.57555	0.0524742	0.0652854	0.0148976	0.00687239	0.03456	0.038912	0.099328	0.085728	0.00128112	24.4142
Add for Pixel16uC3	9.85018	23.1649	0.0831568	0.218849	0.0157734	0.0142163	0.064512	0.212992	0.13312	0.310144	0.0135693	163.177
Add for Pixel16uC4	11.7791	14.5951	0.100896	0.132924	0.0143302	0.0158044	0.071488	0.10752	0.160768	0.25376	0.00320285	31.744
Add for Pixel32fC1	10.9106	10.6988	0.0924003	0.0896067	0.0375896	0.0137181	0.049152	0.068544	0.391168	0.135168	-0.000279363	-3.11766
Add for Pixel32fC3	14.0077	11.9931	0.120025	0.102688	0.0931291	0.0226806	0.094208	0.093184	0.894976	0.314368	-0.00173372	-16.8834
Add for Pixel32fC4	14.6015	14.846	0.133442	0.135538	0.0143915	0.00931077	0.11456	0.113664	0.217088	0.149408	0.000209665	1.57121
Sub for Pixel8uC1	11.0736	9.87443	0.0874592	0.0749389	0.0154953	0.0131213	0.068352	0.06656	0.155648	0.143072	-0.00125203	-16.7074
Sub for Pixel8uC3	11.7606	10.3229	0.104038	0.0908951	0.017894	0.00809619	0.068416	0.078656	0.232448	0.112704	-0.0013143	-14.4595
Sub for Pixel8uC4	11.0397	10.498	0.0957533	0.0877513	0.0198365	0.02059	0.05632	0.047104	0.239488	0.21728	-0.000800196	-9.1189
Sub for Pixel16uC1	10.4921	9.78656	0.0910976	0.0832102	0.0302994	0.012637	0.045824	0.064224	0.323584	0.141312	-0.000788733	-9.47881
Sub for Pixel16uC3	11.291	22.9918	0.098784	0.217041	0.0248583	0.00660589	0.069632	0.210944	0.269024	0.274432	0.0118257	119.713
Sub for Pixel16uC4	11.9768	14.9516	0.0998358	0.135703	0.0286381	0.0199894	0.06832	0.106496	0.264192	0.28672	0.00358676	35.9265
Sub for Pixel32fC1	12.1253	11.5159	0.0946973	0.101185	0.0399453	0.0172753	0.049152	0.06656	0.282624	0.237568	0.000648735	6.85061
Sub for Pixel32fC3	12.9239	12.0842	0.116241	0.107373	0.028851	0.012147	0.095232	0.092992	0.37376	0.137216	-0.000886785	-8.25894
Sub for Pixel32fC4	14.7804	14.5677	0.133163	0.132493	0.0124547	0.00960061	0.116736	0.116736	0.208896	0.166912	-6.69777e-05	-0.505516
Mul for Pixel8uC1	7.15878	7.24813	0.0508464	0.0468199	0.0241881	0.026344	0.031744	0.034816	0.217088	0.228096	-0.000402654	-8.60007
Mul for Pixel8uC3	10.6783	11.9534	0.0935524	0.106754	0.0152484	0.0474065	0.069536	0.079872	0.216736	0.487264	0.00132016	14.1114
Mul for Pixel8uC4	11.167	10.3772	0.0985133	0.0916253	0.0232147	0.00803082	0.073728	0.067584	0.252832	0.10752	-0.0006888	-7.51758
Mul for Pixel16uC1	10.6005	9.69523	0.0893971	0.083081	0.0333914	0.0108477	0.036864	0.065536	0.27648	0.137216	-0.000631616	-7.60242
Mul for Pixel16uC3	10.5772	72.3436	0.0931296	0.707506	0.00495764	0.0228304	0.069632	0.66048	0.10512	0.879584	0.0614377	659.701
Mul for Pixel16uC4	11.2746	14.6506	0.0946054	0.124927	0.0130704	0.0137884	0.072416	0.10752	0.14848	0.159424	0.00303219	32.0509
Mul for Pixel32fC1	10.5637	11.0561	0.0899994	0.0984947	0.0155564	0.00467017	0.049152	0.088	0.12288	0.128	0.000849531	9.4393
Mul for Pixel32fC3	12.2564	12.2348	0.108693	0.10921	0.0124891	0.0109774	0.0952	0.093184	0.147456	0.140288	5.16877e-05	0.47554
Mul for Pixel32fC4	14.8296	14.8367	0.135888	0.134977	0.0123296	0.0221575	0.11776	0.115712	0.182272	0.32432	-9.11087e-05	-0.674995
Div for Pixel8uC1	7.91142	8.16742	0.0639661	0.0665741	0.0131471	0.0218337	0.040768	0.045024	0.098304	0.239616	0.000260799	4.07715
