Image size: 1024 x 1024 Border: (-1, 0, -1, 0)
Name	TotalMPP	TotalNPP	MeanMPP	MeanNPP	StdMPP	StdNPP	MinMPP	MinNPP	MaxMPP	MaxNPP	AbsoluteDifferenceMSec	RelativeDifference
Add for Pixel8uC1	7.59603	55.254	0.0574013	0.541301	0.0173684	0.0360977	0.038912	0.524288	0.09504	0.833536	0.0483899	843.011
Add for Pixel8uC3	11.7424	51.1089	0.102884	0.496436	0.0140407	0.0373263	0.072448	0.431136	0.18944	0.58384	0.0393552	382.521
Add for Pixel8uC4	10.9047	57.1963	0.0963014	0.557508	0.0211246	0.0165513	0.063488	0.538848	0.269312	0.641024	0.0461207	478.92
Add for Pixel16uC1	10.8657	55.4613	0.0950489	0.540503	0.00997183	0.0173525	0.069472	0.439296	0.113664	0.596128	0.0445454	468.658
Add for Pixel16uC3	12.1815	78.4519	0.108029	0.769693	0.0144627	0.0338934	0.082944	0.745152	0.191488	1.0312	0.0661664	612.487
Add for Pixel16uC4	12.0689	17.2189	0.102902	0.154638	0.0171617	0.0146256	0.082688	0.137216	0.160768	0.265216	0.00517357	50.2766
Add for Pixel32fC1	7.45267	60.3382	0.0607843	0.588249	0.00910541	0.0212663	0.048128	0.519456	0.09216	0.657088	0.0527465	867.765
Add for Pixel32fC3	14.3155	15.1433	0.121263	0.139228	0.00999505	0.0153753	0.114688	0.116736	0.151552	0.278208	0.00179655	14.8153
Add for Pixel32fC4	17.3793	16.2007	0.151009	0.146353	0.0240009	0.0207612	0.130048	0.129024	0.349984	0.280576	-0.000465567	-3.18112
Sub for Pixel8uC1	8.27507	55.0574	0.0700963	0.539313	0.0133372	0.0182048	0.039648	0.43712	0.144384	0.59712	0.0469217	669.389
Sub for Pixel8uC3	12.1006	58.8895	0.105943	0.574838	0.0184983	0.0178155	0.072704	0.493568	0.234496	0.641856	0.0468895	442.593
Sub for Pixel8uC4	11.1174	56.9856	0.0986416	0.555859	0.00990003	0.0190852	0.077728	0.426304	0.137216	0.61216	0.0457217	463.514
Sub for Pixel16uC1	10.5717	56.7194	0.0928557	0.550717	0.0141444	0.0279772	0.069632	0.487424	0.178176	0.743424	0.0457862	493.089
Sub for Pixel16uC3	11.8764	75.957	0.103981	0.745391	0.0125128	0.0360566	0.082944	0.666528	0.162432	0.78336	0.0641409	616.852
Sub for Pixel16uC4	12.2962	16.6707	0.104831	0.149247	0.0177653	0.00810184	0.08192	0.137088	0.14848	0.173056	0.0044416	42.3693
Sub for Pixel32fC1	10.1349	61.5516	0.082408	0.601399	0.0202559	0.0116014	0.049152	0.581536	0.214016	0.66064	0.0518991	629.783
Sub for Pixel32fC3	15.6396	15.3303	0.13989	0.139794	0.00905607	0.0159451	0.116736	0.11776	0.170944	0.28672	-9.66787e-06	-0.0691681
Sub for Pixel32fC4	15.9818	16.4577	0.143861	0.150081	0.0273143	0.0142263	0.130048	0.129024	0.393184	0.23552	0.000621986	4.32351
Mul for Pixel8uC1	11.2805	55.7148	0.0924125	0.545383	0.0337067	0.0115482	0.039936	0.531456	0.314368	0.621568	0.0452971	490.162
Mul for Pixel8uC3	10.9414	58.7837	0.097631	0.572002	0.0144172	0.0664234	0.078976	0.555008	0.2304	1.20218	0.0474371	485.882
Mul for Pixel8uC4	11.8917	58.3404	0.103855	0.569018	0.0217706	0.0160903	0.05632	0.498688	0.232512	0.64384	0.0465162	447.894
Mul for Pixel16uC1	11.1339	55.8836	0.0983206	0.545449	0.0174005	0.00701331	0.070656	0.538624	0.24064	0.594112	0.0447128	454.766
Mul for Pixel16uC3	11.9788	77.8794	0.106157	0.764501	0.0120454	0.011225	0.082944	0.724256	0.141312	0.812032	0.0658343	620.159
Mul for Pixel16uC4	12.076	16.6083	0.101829	0.1437	0.0154801	0.00683523	0.082944	0.139264	0.14336	0.19456	0.00418714	41.1194
Mul for Pixel32fC1	10.0222	60.7037	0.0825674	0.592954	0.012375	0.0275676	0.06656	0.453632	0.11264	0.661728	0.0510387	618.146
Mul for Pixel32fC3	15.959	16.086	0.144705	0.147201	0.0115092	0.00638756	0.118784	0.116736	0.16384	0.167936	0.000249635	1.72514
Mul for Pixel32fC4	16.0809	15.9766	0.144083	0.141379	0.0154492	0.0101783	0.132032	0.129024	0.248832	0.164864	-0.000270395	-1.91256
Div for Pixel8uC1	8.98765	57.0704	0.0740688	0.556068	0.0205909	0.0132067	0.048128	0.539776	0.247808	0.630784	0.0481999	650.745
Div for Pixel8uC3	11.3664	59.3736	0.0956371	0.579825	0.0219681	0.0320384	0.067584	0.483328	0.271104	0.713728	0.0484188	506.276
Div for Pixel8uC4	12.5196	64.1596	0.109562	0.627139	0.0163504	0.0359689	0.075776	0.473888	0.212992	0.890784	0.0517577	472.408
Div for Pixel16uC1	10.028	60.1282	0.0877302	0.585711	0.00959076	0.00959245	0.07168	0.559904	0.124928	0.622592	0.049798	567.627
Div for Pixel16uC3	12.6249	18.603	0.110165	0.16882	0.0162991	0.0855652	0.088064	0.152576	0.192704	0.95744	0.00586553	53.2433
Div for Pixel16uC4	12.8748	25.2232	0.111427	0.238864	0.023492	0.0113379	0.083968	0.234496	0.274432	0.349184	0.0127437	114.368
Div for Pixel32fC1	10.7389	58.6927	0.087312	0.571249	0.021988	0.0426022	0.054272	0.492544	0.244736	0.645856	0.0483937	554.261
Div for Pixel32fC3	16.2572	16.1731	0.148435	0.14829	0.00620472	0.00662973	0.115712	0.118688	0.15856	0.155552	-1.44631e-05	-0.0975266
Div for Pixel32fC4	15.7184	15.8536	0.138723	0.140364	0.00971822	0.00981666	0.129024	0.12912	0.176128	0.183296	0.000164093	1.18288
BoxFilter for Pixel8uC1 and filter size (5 x 5)	13.5057	51.2225	0.108306	0.501	0.0138918	0.0536823	0.066464	0.427872	0.152512	0.584768	0.0392694	362.58
BoxFilter for Pixel8uC3 and filter size (5 x 5)	12.3423	23.4824	0.107166	0.221116	0.010232	0.00956404	0.09728	0.217088	0.158464	0.314368	0.011395	106.33
BoxFilter for Pixel8uC4 and filter size (5 x 5)	12.7775	17.7684	0.112012	0.16517	0.0196485	0.0101787	0.079744	0.159744	0.244608	0.261024	0.00531575	47.4568
BoxFilter for Pixel16uC1 and filter size (5 x 5)	11.1022	14.8049	0.0987287	0.135722	0.019941	0.00634547	0.081632	0.11264	0.27648	0.160768	0.00369929	37.4692
BoxFilter for Pixel16uC3 and filter size (5 x 5)	16.554	24.0599	0.149738	0.227394	0.00685529	0.00267982	0.116736	0.223232	0.16896	0.243712	0.0077656	51.8614
BoxFilter for Pixel16uC4 and filter size (5 x 5)	13.5383	17.8074	0.114832	0.164575	0.0181323	0.00342043	0.100128	0.160768	0.253952	0.18432	0.00497431	43.3181
BoxFilter for Pixel32fC1 and filter size (5 x 5)	12.4652	15.105	0.108249	0.136891	0.0137293	0.00875743	0.077824	0.108544	0.16384	0.161792	0.00286423	26.4597
BoxFilter for Pixel32fC3 and filter size (5 x 5)	16.3328	24.021	0.146596	0.227428	0.0174395	0.00372317	0.141312	0.222304	0.290816	0.254624	0.00808319	55.1391
BoxFilter for Pixel32fC4 and filter size (5 x 5)	16.0512	21.6955	0.142286	0.204504	0.0203781	0.0128844	0.131072	0.19456	0.295936	0.323264	0.00622179	43.7273
BoxFilter for Pixel8uC1 and filter size (9 x 9)	12.7091	71.2212	0.108589	0.699409	0.0207361	0.0203354	0.087104	0.637952	0.216064	0.729088	0.059082	544.09
BoxFilter for Pixel8uC3 and filter size (9 x 9)	16.598	52.2097	0.145418	0.508089	0.0117033	0.00678998	0.139264	0.499712	0.243712	0.536576	0.0362671	249.4
BoxFilter for Pixel8uC4 and filter size (9 x 9)	14.0443	64.7342	0.123652	0.63082	0.0186517	0.00631208	0.1024	0.625664	0.218976	0.679936	0.0507169	410.159
BoxFilter for Pixel16uC1 and filter size (9 x 9)	12.5636	48.7755	0.110665	0.471892	0.0201442	0.0550976	0.079872	0.458752	0.263168	1.01459	0.0361227	326.415
BoxFilter for Pixel16uC3 and filter size (9 x 9)	18.772	55.4486	0.171493	0.540049	0.0128959	0.0101696	0.166912	0.529408	0.283552	0.564224	0.0368555	214.909
BoxFilter for Pixel16uC4 and filter size (9 x 9)	16.8448	65.141	0.148279	0.638047	0.0152615	0.00876986	0.139264	0.625664	0.280544	0.704512	0.0489768	330.302
BoxFilter for Pixel32fC1 and filter size (9 x 9)	13.7953	41.982	0.120628	0.397826	0.0153586	0.00598543	0.100352	0.392192	0.186112	0.441024	0.0277197	229.794
BoxFilter for Pixel32fC3 and filter size (9 x 9)	22.2659	55.7906	0.210153	0.543887	0.00262535	0.0132635	0.206848	0.52736	0.2304	0.575488	0.0333734	158.805
BoxFilter for Pixel32fC4 and filter size (9 x 9)	20.9377	62.1202	0.195857	0.576844	0.0182623	0.0526137	0.175008	0.538624	0.365568	0.685696	0.0380987	194.523
BoxFilter for Pixel8uC1 and filter size (11 x 11)	26.6865	91.7903	0.253826	0.906476	0.0044368	0.0432423	0.248768	0.883712	0.282624	1.26054	0.065265	257.125
BoxFilter for Pixel8uC3 and filter size (11 x 11)	18.7546	76.2347	0.173618	0.745608	0.018891	0.0712583	0.167872	0.726016	0.331776	1.40288	0.057199	329.454
BoxFilter for Pixel8uC4 and filter size (11 x 11)	20.7699	91.4483	0.195082	0.899974	0.00147712	0.0032374	0.190464	0.894976	0.2048	0.912416	0.0704891	361.331
BoxFilter for Pixel16uC1 and filter size (11 x 11)	14.0147	66.4846	0.126139	0.645651	0.00685441	0.00472744	0.12288	0.636928	0.191488	0.666304	0.0519511	411.856
BoxFilter for Pixel16uC3 and filter size (11 x 11)	21.9843	82.0584	0.204792	0.806347	0.022734	0.0143122	0.195584	0.786432	0.36352	0.837312	0.0601555	293.74
BoxFilter for Pixel16uC4 and filter size (11 x 11)	19.9987	94.2213	0.187255	0.927373	0.010674	0.0161942	0.174848	0.893952	0.252928	1.04029	0.0740118	395.246
BoxFilter for Pixel32fC1 and filter size (11 x 11)	16.6656	57.2518	0.149997	0.55579	0.0296381	0.0309059	0.142336	0.54784	0.386048	0.859904	0.0405793	270.535
BoxFilter for Pixel32fC3 and filter size (11 x 11)	26.2309	82.1627	0.248314	0.798709	0.00285896	0.0242972	0.24576	0.768064	0.26928	0.833344	0.0550395	221.653
BoxFilter for Pixel32fC4 and filter size (11 x 11)	26.9148	82.4628	0.255984	0.808747	0.00930676	0.0515075	0.227328	0.70144	0.27648	0.964608	0.0552763	215.937
BoxFilter for Pixel8uC1 and filter size (21 x 21)	44.1498	309.832	0.430549	3.08147	0.0183445	0.0289029	0.413696	2.99827	0.603136	3.14675	0.265092	615.707
BoxFilter for Pixel8uC3 and filter size (21 x 21)	29.5619	260.384	0.275832	2.58742	0.0120906	0.015526	0.270368	2.55181	0.392192	2.62042	0.231158	838.041
BoxFilter for Pixel8uC4 and filter size (21 x 21)	33.5159	305.017	0.320564	3.03145	0.00353197	0.0485484	0.317184	3.01021	0.340992	3.40061	0.271088	845.661
BoxFilter for Pixel16uC1 and filter size (21 x 21)	21.8063	199.205	0.203067	1.97594	0.00364737	0.0109082	0.198656	1.95482	0.2304	2.01216	0.177287	873.045
BoxFilter for Pixel16uC3 and filter size (21 x 21)	35.8062	287.05	0.34299	2.84293	0.0347249	0.0660677	0.33664	2.79142	0.684864	3.18058	0.249994	728.867
BoxFilter for Pixel16uC4 and filter size (21 x 21)	35.0704	302.125	0.336995	3.00126	0.0142254	0.0773836	0.326464	2.89485	0.381952	3.47034	0.266426	790.594
BoxFilter for Pixel32fC1 and filter size (21 x 21)	23.935	170.202	0.225017	1.68656	0.0225791	0.0145947	0.218112	1.65683	0.44528	1.71584	0.146154	649.525
BoxFilter for Pixel32fC3 and filter size (21 x 21)	45.0478	286.749	0.435065	2.84772	0.0290545	0.0534503	0.427872	2.80579	0.714752	3.20922	0.241265	554.55
BoxFilter for Pixel32fC4 and filter size (21 x 21)	44.2081	291.353	0.428805	2.8956	0.0490894	0.0924021	0.385728	2.58355	0.5264	2.97949	0.24668	575.273
BoxFilter for Pixel8uC1 and filter size (51 x 51)	104.318	1648.17	1.02114	16.4616	0.0505302	0.196642	0.97792	16.096	1.38426	17.1927	1.54404	1512.08
BoxFilter for Pixel8uC3 and filter size (51 x 51)	76.8102	1521.52	0.749389	15.1752	0.0253397	0.20301	0.739328	14.8962	0.987136	16.0697	1.44259	1925.02
BoxFilter for Pixel8uC4 and filter size (51 x 51)	91.0889	1726.55	0.887422	17.2302	0.0432717	0.157852	0.874336	17.1213	1.25027	18.4893	1.63427	1841.6
BoxFilter for Pixel16uC1 and filter size (51 x 51)	47.019	1054.8	0.456388	10.5192	0.0166349	0.12261	0.45056	10.3699	0.6144	11.5055	1.00629	2204.89
BoxFilter for Pixel16uC3 and filter size (51 x 51)	104.495	1633.32	1.03011	16.2932	0.0456861	0.315516	0.98816	16.0264	1.28205	17.9692	1.52631	1481.7
BoxFilter for Pixel16uC4 and filter size (51 x 51)	105.954	1699.18	1.04367	16.9563	0.0511027	0.332355	0.960512	16.5037	1.1305	18.5897	1.59126	1524.68
BoxFilter for Pixel32fC1 and filter size (51 x 51)	61.0867	920.011	0.596766	9.17365	0.0169237	0.190708	0.588608	8.91392	0.756736	10.4253	0.857689	1437.23
BoxFilter for Pixel32fC3 and filter size (51 x 51)	139.628	1663.99	1.37995	16.6027	0.0598971	0.223501	1.30323	16.2724	1.44765	17.5236	1.52228	1103.14
BoxFilter for Pixel32fC4 and filter size (51 x 51)	185.605	1645.48	1.83725	16.422	0.0633743	0.26676	1.79302	14.8777	2.26918	17.1856	1.45848	793.835
BoxFilter for Pixel8uC1 and filter size (101 x 101)	216.84	6325.69	2.1512	63.2161	0.0638588	0.642802	2.10029	61.9643	2.57331	64.9673	6.10649	2838.64
BoxFilter for Pixel8uC3 and filter size (101 x 101)	258.452	5921.83	2.56232	59.1772	0.0747743	0.468044	2.54157	57.9584	3.11091	60.3993	5.66149	2209.52
BoxFilter for Pixel8uC4 and filter size (101 x 101)	286.066	6665.67	2.8431	66.6202	0.0307829	0.305154	2.82419	66.2446	3.05139	67.6352	6.37771	2243.23
BoxFilter for Pixel16uC1 and filter size (101 x 101)	107.932	4010.36	1.05901	40.0678	0.0295464	0.351539	1.04038	39.3595	1.27488	41.0264	3.90088	3683.5
BoxFilter for Pixel16uC3 and filter size (101 x 101)	304.397	6375.97	3.02426	63.7249	0.0614906	0.48915	2.84573	62.7446	3.19488	65.7715	6.07006	2007.12
BoxFilter for Pixel16uC4 and filter size (101 x 101)	317.635	6581.61	3.15794	65.7766	0.0491039	0.522837	2.99002	64.5949	3.23994	68.011	6.26187	1982.9
BoxFilter for Pixel32fC1 and filter size (101 x 101)	164.241	3533.03	1.62436	35.2916	0.0382249	0.378352	1.57798	34.1166	1.87677	36.4225	3.36672	2072.65
BoxFilter for Pixel32fC3 and filter size (101 x 101)	649.034	6494.16	6.46448	64.906	0.16893	0.304636	6.10509	63.7622	7.39328	65.8431	5.84415	904.04
BoxFilter for Pixel32fC4 and filter size (101 x 101)	686.017	6506.7	6.83746	65.0302	0.142567	0.414007	6.59962	62.8828	8.02205	66.3818	5.81928	851.087
BoxFilter for Pixel8uC1 and filter size (151 x 151)	306.244	13989	3.04547	139.848	0.0603215	1.29734	2.98666	136.32	3.48058	142.688	13.6803	4492
BoxFilter for Pixel8uC3 and filter size (151 x 151)	564.39	13237.3	5.62088	132.258	0.0718434	0.757121	5.59718	129.631	6.06822	133.702	12.6637	2252.98
BoxFilter for Pixel8uC4 and filter size (151 x 151)	569.122	14823.2	5.66702	148.174	0.0744727	0.369274	5.632	147.843	6.12454	149.272	14.2507	2514.66
BoxFilter for Pixel16uC1 and filter size (151 x 151)	178.558	8900	1.7614	88.9616	0.0733025	0.540062	1.72198	87.9278	2.27094	90.7407	8.72003	4950.62
BoxFilter for Pixel16uC3 and filter size (151 x 151)	561.809	14426.5	5.59651	144.22	0.122791	0.706213	5.2736	142.175	6.45018	147.029	13.8623	2476.96
BoxFilter for Pixel16uC4 and filter size (151 x 151)	575.988	14639.2	5.73621	146.348	0.114314	0.984732	5.40877	143.754	6.46349	149.745	14.0612	2451.31
BoxFilter for Pixel32fC1 and filter size (151 x 151)	280.912	7816.17	2.7885	78.1231	0.0795715	0.635642	2.68288	76.6966	3.23174	79.873	7.53346	2701.62
BoxFilter for Pixel32fC3 and filter size (151 x 151)	1285.42	14587.6	12.8235	145.83	0.247183	0.457817	12.16	143.361	13.8424	146.681	13.3006	1037.21
BoxFilter for Pixel32fC4 and filter size (151 x 151)	1161.21	14460.6	11.5704	144.562	0.26328	0.643538	10.9056	143.328	12.7355	149.052	13.2992	1149.42
ColumnWindowSum for Pixel8uC1 and filter size (1 x 11)	14.1998	13.9469	0.122989	0.124197	0.0193256	0.0256638	0.095936	0.095136	0.208896	0.260128	0.000120767	0.981926
ColumnWindowSum for Pixel8uC3 and filter size (1 x 11)	16.5274	16.553	0.149152	0.149472	0.0125793	0.0172222	0.142336	0.14336	0.256	0.296992	3.19421e-05	0.214157
ColumnWindowSum for Pixel8uC4 and filter size (1 x 11)	15.9099	15.8945	0.142554	0.143754	0.0183344	0.0115506	0.132096	0.130048	0.294912	0.167936	0.000120032	0.84201
ColumnWindowSum for Pixel16uC1 and filter size (1 x 11)	12.8259	12.8421	0.110411	0.112864	0.0144078	0.0156646	0.096256	0.096256	0.166912	0.138016	0.000245279	2.22151
ColumnWindowSum for Pixel16uC3 and filter size (1 x 11)	16.9134	16.8029	0.155121	0.152013	0.0110394	0.00505963	0.149504	0.14848	0.249568	0.193312	-0.00031072	-2.04404
ColumnWindowSum for Pixel16uC4 and filter size (1 x 11)	15.8896	16.0133	0.14275	0.141986	0.0118724	0.0101414	0.135168	0.131072	0.22304	0.16656	-7.64087e-05	-0.538147
RowWindowSum for Pixel8uC1 and filter size (11 x 1)	11.308	13.2454	0.100409	0.109346	0.0406456	0.0378312	0.070656	0.089088	0.49664	0.400384	0.000893734	8.90096
RowWindowSum for Pixel8uC3 and filter size (11 x 1)	16.5079	15.7525	0.149566	0.14037	0.00700025	0.00723747	0.123904	0.136192	0.181248	0.188352	-0.000919656	-6.55168
RowWindowSum for Pixel8uC4 and filter size (11 x 1)	16.9912	15.9293	0.151479	0.144229	0.0244138	0.015377	0.118784	0.118784	0.32464	0.201728	-0.000725089	-5.02737
RowWindowSum for Pixel16uC1 and filter size (11 x 1)	11.7064	12.6126	0.102021	0.106691	0.0230329	0.0152049	0.068608	0.080896	0.315392	0.186368	0.000466947	4.57697
RowWindowSum for Pixel16uC3 and filter size (11 x 1)	16.4823	16.0555	0.147603	0.145377	0.0190893	0.0132045	0.125952	0.12976	0.275456	0.201344	-0.000222531	-1.53071
RowWindowSum for Pixel16uC4 and filter size (11 x 1)	16.3628	16.4485	0.144939	0.151532	0.0273819	0.00970527	0.123904	0.125952	0.326656	0.182272	0.000659356	4.5492
LowPassFilter for Pixel8uC1 and filter size (3 x 3)	10.4867	55.9401	0.0835526	0.545028	0.0270867	0.0494131	0.047776	0.506176	0.273408	0.869376	0.0461475	552.317
LowPassFilter for Pixel8uC3 and filter size (3 x 3)	16.9841	61.7124	0.15513	0.60282	0.0265462	0.0584561	0.14848	0.577408	0.3888	1.1687	0.044769	288.59
LowPassFilter for Pixel8uC4 and filter size (3 x 3)	11.3469	61.4308	0.100043	0.598945	0.0153509	0.0410175	0.070624	0.500736	0.177152	0.872512	0.0498902	498.688
LowPassFilter for Pixel16uC1 and filter size (3 x 3)	9.7385	10.654	0.0852304	0.0903565	0.0159458	0.0119572	0.068608	0.053248	0.219136	0.119808	0.00051261	6.0144
LowPassFilter for Pixel16uC3 and filter size (3 x 3)	12.3539	12.6782	0.107817	0.110438	0.030718	0.0146532	0.088128	0.099328	0.343936	0.178176	0.000262107	2.43105
LowPassFilter for Pixel16uC4 and filter size (3 x 3)	12.2634	12.4948	0.109426	0.106459	0.0222945	0.0129621	0.082944	0.09216	0.245696	0.147456	-0.000296643	-2.78645
LowPassFilter for Pixel32fC1 and filter size (3 x 3)	11.2753	10.9773	0.0919993	0.0965558	0.0165384	0.0085287	0.053088	0.078656	0.155648	0.131072	0.00045565	4.95275
LowPassFilter for Pixel32fC3 and filter size (3 x 3)	14.6125	14.0104	0.124595	0.126978	0.015199	0.0198905	0.118784	0.112416	0.230048	0.254976	0.000238329	1.91283
LowPassFilter for Pixel32fC4 and filter size (3 x 3)	16.3492	16.2796	0.145272	0.147647	0.0167465	0.00781003	0.11776	0.119808	0.200704	0.169984	0.000237511	1.63494
LowPassFilter for Pixel8uC1 and filter size (5 x 5)	10.8935	55.8971	0.0935286	0.545025	0.0127148	0.0093215	0.060416	0.527232	0.142336	0.593152	0.0451496	482.736
LowPassFilter for Pixel8uC3 and filter size (5 x 5)	13.6838	19.369	0.119037	0.181281	0.0764985	0.00651467	0.09728	0.178912	0.842752	0.222208	0.00622439	52.2897
LowPassFilter for Pixel8uC4 and filter size (5 x 5)	12.2767	64.0942	0.101411	0.626493	0.0203844	0.00506962	0.078848	0.6144	0.143424	0.647168	0.0525083	517.779
LowPassFilter for Pixel16uC1 and filter size (5 x 5)	12.4682	12.7293	0.111066	0.110338	0.095804	0.0325081	0.070528	0.075776	1.03117	0.272384	-7.28302e-05	-0.660072
LowPassFilter for Pixel16uC3 and filter size (5 x 5)	16.5386	20.4175	0.149177	0.191534	0.0204048	0.0133272	0.116736	0.186368	0.279648	0.321472	0.00423568	28.3936
LowPassFilter for Pixel16uC4 and filter size (5 x 5)	13.7001	17.5708	0.12009	0.163333	0.0175495	0.00325447	0.100352	0.159744	0.19456	0.186368	0.00432435	36.0093
